,cat,file,text_sentence_count,text_word_count,summary_sentence_count,summary_word_count,model,rouge_1_p,rouge_1_r,rouge_2_p,rouge_2_r,rouge_L_p,rouge_L_r
0,tech,../dataset/NewsArticles/tech/289.txt,23,455,10,209,bert,0.6474820143884892,0.6617647058823529,0.46766169154228854,0.46078431372549017,0.6115107913669064,0.625
1,tech,../dataset/NewsArticles/tech/262.txt,10,223,8,181,bert,0.48333333333333334,0.9830508474576272,0.47560975609756095,0.9629629629629629,0.48333333333333334,0.9830508474576272
2,tech,../dataset/NewsArticles/tech/276.txt,27,592,10,208,bert,0.5766423357664233,0.49375,0.43147208121827413,0.3386454183266932,0.5620437956204379,0.48125
3,tech,../dataset/NewsArticles/tech/060.txt,15,278,7,106,bert,0.6296296296296297,0.6710526315789473,0.5145631067961165,0.5353535353535354,0.6296296296296297,0.6710526315789473
4,tech,../dataset/NewsArticles/tech/074.txt,25,514,11,235,bert,0.7571428571428571,0.8346456692913385,0.6851851851851852,0.7668393782383419,0.75,0.8267716535433071
5,tech,../dataset/NewsArticles/tech/048.txt,15,381,7,208,bert,0.5661764705882353,0.7264150943396226,0.457286432160804,0.6232876712328768,0.5661764705882353,0.7264150943396226
6,tech,../dataset/NewsArticles/tech/114.txt,21,471,10,212,bert,0.4881889763779528,0.5391304347826087,0.328042328042328,0.3563218390804598,0.4645669291338583,0.5130434782608696
7,tech,../dataset/NewsArticles/tech/100.txt,20,376,8,149,bert,0.42857142857142855,0.47058823529411764,0.2847222222222222,0.2733333333333333,0.4107142857142857,0.45098039215686275
8,tech,../dataset/NewsArticles/tech/128.txt,15,259,6,97,bert,0.5416666666666666,0.52,0.43333333333333335,0.3939393939393939,0.5416666666666666,0.52
9,tech,../dataset/NewsArticles/tech/316.txt,28,626,14,297,bert,0.5865921787709497,0.6907894736842105,0.45907473309608543,0.5375,0.5810055865921788,0.6842105263157895
10,tech,../dataset/NewsArticles/tech/302.txt,17,404,8,185,bert,0.5609756097560976,0.6509433962264151,0.5114942528735632,0.5235294117647059,0.5528455284552846,0.6415094339622641
11,tech,../dataset/NewsArticles/tech/303.txt,15,283,7,113,bert,0.4819277108433735,0.5128205128205128,0.3076923076923077,0.2882882882882883,0.46987951807228917,0.5
12,tech,../dataset/NewsArticles/tech/317.txt,10,204,6,129,bert,0.5232558139534884,0.8035714285714286,0.39669421487603307,0.631578947368421,0.4883720930232558,0.75
13,tech,../dataset/NewsArticles/tech/129.txt,19,435,15,286,bert,0.5340909090909091,0.831858407079646,0.4725274725274725,0.7329545454545454,0.5340909090909091,0.831858407079646
14,tech,../dataset/NewsArticles/tech/101.txt,17,360,7,143,bert,0.34615384615384615,0.3956043956043956,0.15671641791044777,0.168,0.3269230769230769,0.37362637362637363
15,tech,../dataset/NewsArticles/tech/115.txt,18,405,8,173,bert,0.5431034482758621,0.5526315789473685,0.39375,0.35795454545454547,0.5172413793103449,0.5263157894736842
16,tech,../dataset/NewsArticles/tech/049.txt,22,479,9,191,bert,0.5984251968503937,0.5352112676056338,0.5027322404371585,0.4052863436123348,0.5905511811023622,0.528169014084507
17,tech,../dataset/NewsArticles/tech/075.txt,15,283,7,113,bert,0.4819277108433735,0.5128205128205128,0.3076923076923077,0.2882882882882883,0.46987951807228917,0.5
18,tech,../dataset/NewsArticles/tech/061.txt,19,418,9,188,bert,0.6129032258064516,0.628099173553719,0.5,0.5142857142857142,0.5967741935483871,0.6115702479338843
19,tech,../dataset/NewsArticles/tech/277.txt,28,608,12,289,bert,0.5968586387434555,0.6,0.5212765957446809,0.519434628975265,0.5863874345549738,0.5894736842105263
20,tech,../dataset/NewsArticles/tech/263.txt,19,442,9,189,bert,0.47692307692307695,0.45588235294117646,0.3516483516483517,0.32160804020100503,0.45384615384615384,0.4338235294117647
21,tech,../dataset/NewsArticles/tech/288.txt,36,821,14,318,bert,0.535,0.5194174757281553,0.40863787375415284,0.3716012084592145,0.53,0.5145631067961165
22,tech,../dataset/NewsArticles/tech/275.txt,25,517,11,188,bert,0.4166666666666667,0.4296875,0.18994413407821228,0.18085106382978725,0.3787878787878788,0.390625
