,cat,file,text_sentence_count,text_word_count,summary_sentence_count,summary_word_count,model,rouge_1_p,rouge_1_r,rouge_2_p,rouge_2_r,rouge_L_p,rouge_L_r
0,business,../dataset/NewsArticles/business/289.txt,16,329,8,196,cbow,0.6349206349206349,0.8247422680412371,0.569060773480663,0.7984496124031008,0.6349206349206349,0.8247422680412371
1,business,../dataset/NewsArticles/business/504.txt,18,457,10,331,cbow,0.8523809523809524,0.9944444444444445,0.7859424920127795,0.968503937007874,0.8523809523809524,0.9944444444444445
2,business,../dataset/NewsArticles/business/262.txt,33,585,28,529,cbow,0.5802047781569966,0.9941520467836257,0.5168067226890757,0.9498069498069498,0.5802047781569966,0.9941520467836257
3,business,../dataset/NewsArticles/business/276.txt,10,182,5,96,cbow,0.6617647058823529,0.7627118644067796,0.5268817204301075,0.6712328767123288,0.6617647058823529,0.7627118644067796
4,business,../dataset/NewsArticles/business/510.txt,7,156,4,99,cbow,0.5492957746478874,0.9069767441860465,0.4065934065934066,0.7708333333333334,0.5492957746478874,0.9069767441860465
5,business,../dataset/NewsArticles/business/060.txt,8,143,5,99,cbow,0.573170731707317,0.8545454545454545,0.5104166666666666,0.7777777777777778,0.573170731707317,0.8545454545454545
6,business,../dataset/NewsArticles/business/074.txt,12,260,6,138,cbow,0.7931034482758621,0.9857142857142858,0.753968253968254,0.9693877551020408,0.7931034482758621,0.9857142857142858
7,business,../dataset/NewsArticles/business/048.txt,12,277,9,237,cbow,0.5724137931034483,0.9880952380952381,0.4881516587677725,0.9537037037037037,0.5724137931034483,0.9880952380952381
8,business,../dataset/NewsArticles/business/114.txt,19,359,8,137,cbow,0.963855421686747,0.7766990291262136,0.9243697478991597,0.738255033557047,0.963855421686747,0.7766990291262136
9,business,../dataset/NewsArticles/business/100.txt,16,352,8,205,cbow,0.7586206896551724,0.8979591836734694,0.7027027027027027,0.8496732026143791,0.75,0.8877551020408163
10,business,../dataset/NewsArticles/business/128.txt,16,319,8,200,cbow,0.816793893129771,0.8916666666666667,0.7527472527472527,0.8616352201257862,0.816793893129771,0.8916666666666667
