,cat,file,text_sentence_count,text_word_count,summary_sentence_count,summary_word_count,model,rouge_1_p,rouge_1_r,rouge_2_p,rouge_2_r,rouge_L_p,rouge_L_r
0,sport,../dataset/NewsArticles/sport/289.txt,25,402,11,238,cbow,0.8137931034482758,0.9147286821705426,0.7422222222222222,0.8789473684210526,0.8137931034482758,0.9147286821705426
1,sport,../dataset/NewsArticles/sport/504.txt,9,144,5,98,cbow,0.410958904109589,0.7317073170731707,0.3218390804597701,0.5490196078431373,0.410958904109589,0.7317073170731707
2,sport,../dataset/NewsArticles/sport/262.txt,6,137,4,100,cbow,0.524390243902439,0.7288135593220338,0.48936170212765956,0.6764705882352942,0.5121951219512195,0.711864406779661
3,sport,../dataset/NewsArticles/sport/276.txt,19,306,9,155,cbow,0.6952380952380952,0.6697247706422018,0.5862068965517241,0.5414012738853503,0.6857142857142857,0.6605504587155964
4,sport,../dataset/NewsArticles/sport/510.txt,14,331,7,175,cbow,0.8137254901960784,0.9120879120879121,0.7515923566878981,0.8872180451127819,0.8137254901960784,0.9120879120879121
5,sport,../dataset/NewsArticles/sport/060.txt,18,419,18,419,cbow,0.5289256198347108,0.9922480620155039,0.453781512605042,0.9529411764705882,0.5289256198347108,0.9922480620155039
6,sport,../dataset/NewsArticles/sport/074.txt,6,139,4,104,cbow,0.726027397260274,0.9814814814814815,0.6526315789473685,0.9538461538461539,0.726027397260274,0.9814814814814815
7,sport,../dataset/NewsArticles/sport/048.txt,20,423,9,227,cbow,0.6408450704225352,0.8425925925925926,0.5142857142857142,0.7105263157894737,0.6056338028169014,0.7962962962962963
8,sport,../dataset/NewsArticles/sport/114.txt,16,315,8,189,cbow,0.7086614173228346,0.8108108108108109,0.5956284153005464,0.7569444444444444,0.7007874015748031,0.8018018018018018
9,sport,../dataset/NewsArticles/sport/100.txt,14,385,10,286,cbow,0.6204819277108434,0.9809523809523809,0.5708661417322834,0.9415584415584416,0.6204819277108434,0.9809523809523809
10,sport,../dataset/NewsArticles/sport/128.txt,12,253,6,146,cbow,0.5157894736842106,0.7101449275362319,0.4074074074074074,0.6179775280898876,0.5052631578947369,0.6956521739130435
11,sport,../dataset/NewsArticles/sport/470.txt,27,466,12,254,cbow,0.8741721854304636,0.9166666666666666,0.7966101694915254,0.8506787330316742,0.8741721854304636,0.9166666666666666
12,sport,../dataset/NewsArticles/sport/316.txt,16,333,8,171,cbow,0.5689655172413793,0.6285714285714286,0.4276729559748428,0.4563758389261745,0.5603448275862069,0.6190476190476191
13,sport,../dataset/NewsArticles/sport/302.txt,23,498,11,275,cbow,0.8633540372670807,0.9266666666666666,0.7894736842105263,0.8944954128440367,0.8633540372670807,0.9266666666666666
14,sport,../dataset/NewsArticles/sport/464.txt,22,443,10,262,cbow,0.8050314465408805,0.8590604026845637,0.70995670995671,0.7772511848341233,0.8050314465408805,0.8590604026845637
15,sport,../dataset/NewsArticles/sport/458.txt,12,247,6,152,cbow,0.3300970873786408,0.576271186440678,0.16058394160583941,0.2972972972972973,0.3106796116504854,0.5423728813559322
16,sport,../dataset/NewsArticles/sport/459.txt,9,195,5,118,cbow,0.5529411764705883,0.8392857142857143,0.5233644859813084,0.8115942028985508,0.5529411764705883,0.8392857142857143
17,sport,../dataset/NewsArticles/sport/303.txt,28,474,13,263,cbow,0.732484076433121,0.8712121212121212,0.6340425531914894,0.764102564102564,0.732484076433121,0.8712121212121212
18,sport,../dataset/NewsArticles/sport/465.txt,16,339,8,206,cbow,0.5081967213114754,0.7045454545454546,0.42777777777777776,0.6062992125984252,0.5081967213114754,0.7045454545454546
19,sport,../dataset/NewsArticles/sport/471.txt,6,136,4,98,cbow,0.43478260869565216,0.8333333333333334,0.3068181818181818,0.6428571428571429,0.4057971014492754,0.7777777777777778
20,sport,../dataset/NewsArticles/sport/317.txt,7,162,4,114,cbow,0.525,0.7636363636363637,0.42718446601941745,0.6875,0.525,0.7636363636363637
21,sport,../dataset/NewsArticles/sport/129.txt,8,214,5,156,cbow,0.6949152542372882,0.8541666666666666,0.6689655172413793,0.8290598290598291,0.6949152542372882,0.8541666666666666
22,sport,../dataset/NewsArticles/sport/101.txt,36,639,16,325,cbow,0.7122641509433962,0.7704081632653061,0.6192052980132451,0.6824817518248175,0.7122641509433962,0.7704081632653061
23,sport,../dataset/NewsArticles/sport/115.txt,28,668,13,357,cbow,0.9295774647887324,0.99,0.8695652173913043,0.9556313993174061,0.9295774647887324,0.99
24,sport,../dataset/NewsArticles/sport/049.txt,23,470,11,266,cbow,0.7514792899408284,0.8355263157894737,0.6818181818181818,0.7894736842105263,0.7514792899408284,0.8355263157894737
25,sport,../dataset/NewsArticles/sport/075.txt,25,549,14,330,cbow,0.4942528735632184,0.7107438016528925,0.39436619718309857,0.6256983240223464,0.4885057471264368,0.7024793388429752
