,cat,file,text_sentence_count,text_word_count,summary_sentence_count,summary_word_count,model,rouge_1_p,rouge_1_r,rouge_2_p,rouge_2_r,rouge_L_p,rouge_L_r
0,tech,../dataset/NewsArticles/tech/289.txt,23,455,11,233,cbow,0.7307692307692307,0.6985294117647058,0.5299539170506913,0.5637254901960784,0.7307692307692307,0.6985294117647058
1,tech,../dataset/NewsArticles/tech/262.txt,10,223,8,189,cbow,0.4603174603174603,0.9830508474576272,0.4508670520231214,0.9629629629629629,0.4603174603174603,0.9830508474576272
2,tech,../dataset/NewsArticles/tech/276.txt,27,592,12,300,cbow,0.7577639751552795,0.7625,0.673992673992674,0.7330677290836654,0.7515527950310559,0.75625
3,tech,../dataset/NewsArticles/tech/060.txt,15,278,7,167,cbow,0.5663716814159292,0.8421052631578947,0.46296296296296297,0.7575757575757576,0.5663716814159292,0.8421052631578947
4,tech,../dataset/NewsArticles/tech/074.txt,25,514,12,276,cbow,0.6907894736842105,0.8267716535433071,0.6172839506172839,0.7772020725388601,0.6907894736842105,0.8267716535433071
5,tech,../dataset/NewsArticles/tech/048.txt,15,381,7,223,cbow,0.5895522388059702,0.7452830188679245,0.4876847290640394,0.678082191780822,0.5895522388059702,0.7452830188679245
6,tech,../dataset/NewsArticles/tech/114.txt,21,471,10,219,cbow,0.9193548387096774,0.991304347826087,0.8704663212435233,0.9655172413793104,0.9193548387096774,0.991304347826087
7,tech,../dataset/NewsArticles/tech/100.txt,20,376,9,188,cbow,0.808695652173913,0.9117647058823529,0.7797619047619048,0.8733333333333333,0.808695652173913,0.9117647058823529
8,tech,../dataset/NewsArticles/tech/128.txt,15,259,7,136,cbow,0.7634408602150538,0.9466666666666667,0.6821705426356589,0.8888888888888888,0.7634408602150538,0.9466666666666667
9,tech,../dataset/NewsArticles/tech/316.txt,28,626,14,312,cbow,0.7374301675977654,0.868421052631579,0.65625,0.7875,0.7318435754189944,0.8618421052631579
10,tech,../dataset/NewsArticles/tech/302.txt,17,404,8,199,cbow,0.7777777777777778,0.8584905660377359,0.75,0.8117647058823529,0.7777777777777778,0.8584905660377359
11,tech,../dataset/NewsArticles/tech/303.txt,15,283,7,150,cbow,0.8461538461538461,0.9871794871794872,0.7941176470588235,0.972972972972973,0.8461538461538461,0.9871794871794872
12,tech,../dataset/NewsArticles/tech/317.txt,10,204,6,144,cbow,0.6470588235294118,0.9821428571428571,0.5581395348837209,0.9473684210526315,0.6470588235294118,0.9821428571428571
13,tech,../dataset/NewsArticles/tech/129.txt,19,435,15,380,cbow,0.5410628019323671,0.9911504424778761,0.4899135446685879,0.9659090909090909,0.5410628019323671,0.9911504424778761
14,tech,../dataset/NewsArticles/tech/101.txt,17,360,8,187,cbow,0.7777777777777778,0.9230769230769231,0.6730769230769231,0.84,0.7777777777777778,0.9230769230769231
