,cat,file,text_sentence_count,text_word_count,summary_sentence_count,summary_word_count,model,rouge_1_p,rouge_1_r,rouge_2_p,rouge_2_r,rouge_L_p,rouge_L_r
0,sport,../dataset/NewsArticles/sport/289.txt,25,402,10,211,textrank,0.8444444444444444,0.8837209302325582,0.7711442786069652,0.8157894736842105,0.8444444444444444,0.8837209302325582
1,sport,../dataset/NewsArticles/sport/504.txt,9,144,4,54,textrank,0.5777777777777777,0.6341463414634146,0.4716981132075472,0.49019607843137253,0.5777777777777777,0.6341463414634146
2,sport,../dataset/NewsArticles/sport/262.txt,6,137,3,76,textrank,0.6885245901639344,0.711864406779661,0.6388888888888888,0.6764705882352942,0.6885245901639344,0.711864406779661
3,sport,../dataset/NewsArticles/sport/276.txt,19,306,8,160,textrank,0.6851851851851852,0.6788990825688074,0.6225165562913907,0.5987261146496815,0.6851851851851852,0.6788990825688074
4,sport,../dataset/NewsArticles/sport/510.txt,14,331,6,149,textrank,0.8085106382978723,0.8351648351648352,0.7737226277372263,0.7969924812030075,0.8085106382978723,0.8351648351648352
5,sport,../dataset/NewsArticles/sport/060.txt,18,419,18,419,textrank,0.5289256198347108,0.9922480620155039,0.453781512605042,0.9529411764705882,0.5289256198347108,0.9922480620155039
6,sport,../dataset/NewsArticles/sport/074.txt,6,139,3,75,textrank,0.6785714285714286,0.7037037037037037,0.6029411764705882,0.6307692307692307,0.6785714285714286,0.7037037037037037
7,sport,../dataset/NewsArticles/sport/048.txt,20,423,8,171,textrank,0.6923076923076923,0.6666666666666666,0.5128205128205128,0.5263157894736842,0.6634615384615384,0.6388888888888888
8,sport,../dataset/NewsArticles/sport/114.txt,16,315,7,145,textrank,0.6756756756756757,0.6756756756756757,0.524822695035461,0.5138888888888888,0.6666666666666666,0.6666666666666666
9,sport,../dataset/NewsArticles/sport/100.txt,14,385,9,265,textrank,0.5766871165644172,0.8952380952380953,0.5271966527196653,0.8181818181818182,0.5766871165644172,0.8952380952380953
10,sport,../dataset/NewsArticles/sport/128.txt,12,253,5,108,textrank,0.625,0.7246376811594203,0.5686274509803921,0.651685393258427,0.625,0.7246376811594203
11,sport,../dataset/NewsArticles/sport/470.txt,27,466,11,203,textrank,0.6793893129770993,0.6180555555555556,0.5897435897435898,0.5203619909502263,0.6793893129770993,0.6180555555555556
12,sport,../dataset/NewsArticles/sport/316.txt,16,333,7,155,textrank,0.4954128440366973,0.5142857142857142,0.3673469387755102,0.3624161073825503,0.47706422018348627,0.49523809523809526
13,sport,../dataset/NewsArticles/sport/302.txt,23,498,10,247,textrank,0.7746478873239436,0.7333333333333333,0.6592920353982301,0.6834862385321101,0.7676056338028169,0.7266666666666667
14,sport,../dataset/NewsArticles/sport/464.txt,22,443,9,243,textrank,0.6928571428571428,0.6510067114093959,0.5767441860465117,0.5876777251184834,0.6928571428571428,0.6510067114093959
15,sport,../dataset/NewsArticles/sport/458.txt,12,247,5,118,textrank,0.3563218390804598,0.5254237288135594,0.2018348623853211,0.2972972972972973,0.3448275862068966,0.5084745762711864
16,sport,../dataset/NewsArticles/sport/459.txt,9,195,4,93,textrank,0.7014925373134329,0.8392857142857143,0.6746987951807228,0.8115942028985508,0.7014925373134329,0.8392857142857143
17,sport,../dataset/NewsArticles/sport/303.txt,28,474,12,240,textrank,0.6013071895424836,0.696969696969697,0.49327354260089684,0.5641025641025641,0.5947712418300654,0.6893939393939394
